Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
1st;20;"4'11""";42kg;Female;Islam;Rural;Own House;Nuclear;3;Others;House Wife;Agree;3,8;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;Debate ;Agree;Strongly-agree;Never;Never;No;No chance at all;Satisfied;A little;Not at all Noticeable;Much;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
12th;23;5 feet 10 inches;78;Male;Islam;Urban;Rented House or Mess;Join or Extended;3;Business;House Wife;Agree;3,15;1-3 hours;1-3 hours;Single;No;Offen;No;No;no;Dis-agree;dis-agree;Never;Never;No;No chance at all;Moderately Satisfied;A little;Barely;Barely;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time
11th;24;5 feet;60;Female;Islam;Rural;Rented House or Mess;Nuclear;0;Business;House Wife;Agree;2,69;1-3 hours;1-3 hours;Single;No;Offen;yes;No;Book reading ;Strongly-agree;Agree;Never;Never;Yes, at one time, but did not really want to die;No chance at all;Dissatisfied;Very Much Interfering;Much;Very Much;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
2nd ;21;5,1;66;Female;Hindu;Urban;Own House;Nuclear;2;Service Holder;House Wife;Neural;3,15;1-3 hours;1-3 hours;Single;No;Offen;yes;No;no;Neutral;dis-agree;Never;Never;No;Never;Dissatisfied;Much;Much;Much;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
Spring-2024;21;5 feet 10 inches;58;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Service Holder;House Wife;Neural;3,5;4-6 hours;1-3 hours;Single;No;Offen;yes;yes;Sports,Song;Neutral;Agree;It was just a brief passing thought;Rarely (1 time);No;Never;Satisfied;Much;Not at all Noticeable;Not at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
2nd;21;6.0 feet;81;Male;Islam;Rural;Rented House or Mess;Nuclear;0;Service Holder;House Wife;Neural;4;1-3 hours;1-3 hours;Single;No;Rarely;yes;yes;Singing, Content Creating on social Midea, Train Spotting;Neutral;Agree;Never;Never;No;Never;Dissatisfied;Somewhat;Not at all Noticeable;Barely;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
2;20;"5'1""";63;Female;Islam;Rural;Own House;Nuclear;2;Business;House Wife;Agree;3,8;1-3 hours;4-6 hours;Single;No;Offen;yes;No;No;Agree;dis-agree;I have attempted to kill myself, but did not want to die;Never;No;No chance at all;Moderately Satisfied;A little;Not at all Noticeable;Somewhat;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
1st;19;5'7'';49;Male;Islam;Rural;Rented House or Mess;Join or Extended;20;Business;House Wife;Neural;3,5;1-3 hours;4-6 hours;Single;No;Regularly;No;No;No;Dis-agree;Agree;Never;Never;No;Never;Dissatisfied;Not at all Interfering;Not at all Noticeable;Not at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
2nd;21;5;49 kg;Female;Islam;Rural;Own House;Nuclear;2;Others;House Wife;Agree;3,26;1-3 hours;4-6 hours;Single;No;Offen;No;yes;Drawing;Agree;Agree;Never;Never;No;Never;Satisfied;A little;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
5th;24;5feet 1;62;Male;Islam;Rural;Own House;Nuclear;4;Business;House Wife;Agree;1,27;>=9 hours;1-3 hours;Single;No;Regularly;yes;yes;yes;Agree;Agree;Never;Never;No;Never;Very Dissatisfied;Not at all Interfering;Much;Much;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
2nd;22;5 feet;52;Female;Hindu;Rural;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;3,67;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;dacing;Agree;Agree;Never;Never;No;No chance at all;Very Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
5th;21;5'2;59;Female;Islam;Urban;Own House;Nuclear;2;Business;House Wife;Neural;3,96;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;Nothing ;Neutral;Neutral;I have had a plan at least once to kill myself and really wanted to die;Rarely (1 time);No;Never;Moderately Satisfied;A little;Barely;Barely;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
13;23;67 inches;65 kg;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;2,82;1-3 hours;1-3 hours;Single;Yes;Offen;yes;No;nothing;Neutral;Agree;Never;Never;No;Never;Dissatisfied;Very Much Interfering;Barely;Somewhat;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time
5th;24;5,6;74;Male;Islam;Rural;Rented House or Mess;Nuclear;2;Farmer;House Wife;Agree;3,75;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;freelancing;Neutral;Agree;I have had a plan at least once to kill myself but did not try to do it;Rarely (1 time);No;Never;Satisfied;Much;Somewhat;Somewhat;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
1st;20;5 feet 4 inches;58kg;Female;Islam;Rural;Own House;Nuclear;2;Others;House Wife;Strongly-agree;N/A;4-6 hours;1-3 hours;Single;No;Offen;yes;No;N/A;Agree;Agree;Never;Never;No;Never;Moderately Satisfied;Much;Much;Somewhat;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all
6th;21;5'4;55;Female;Islam;Rural;Rented House or Mess;Nuclear;3;Business;House Wife;Neural;3,15;1-3 hours;1-3 hours;Single;No;Rarely;yes;No;No;Neutral;Agree;I have had a plan at least once to kill myself and really wanted to die;Rarely (1 time);No;Unlikely;Dissatisfied;A little;Barely;Much;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
1st;20;5,11;85;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Service Holder;House Wife;Agree;3,2;1-3 hours;4-6 hours;Single;No;Regularly;yes;yes;studying about world politics;Neutral;Neutral;Never;Never;No;No chance at all;Satisfied;Somewhat;Barely;Not at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time
9th;24+;"5""10'";84;Male;Islam;Rural;Rented House or Mess;Join or Extended;3;Service Holder;House Wife;Strongly-disagree;3,41;1-3 hours;1-3 hours;Single;Yes;Offen;yes;yes;Involved with blood donation group;Dis-agree;dis-agree;I have had a plan at least once to kill myself but did not try to do it;Sometimes (2 times);Yes, at one time, but did not really want to die;Never;Dissatisfied;A little;Somewhat;Somewhat;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
