Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
4th;24;5 ft7 in;65;Male;Islam;Rural;Own House;Join or Extended;2;Business;House Wife;Strongly-agree;2,7;1-3 hours;1-3 hours;Single;No;Offen;yes;yes;Campus Director, Hult Prize at IUBAT ;Neutral;Neutral;Never;Never;No;Never;Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
9th;23;5.8 feet;83kg;Male;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Strongly-agree;3,6;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;No;Neutral;Neutral;Never;Never;No;Never;Moderately Satisfied;A little;Barely;Much;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
12;23;"5.5""";63;Female;Islam;Rural;Rented House or Mess;Nuclear;3;Business;House Wife;Agree;3,06;1-3 hours;1-3 hours;Married;No;Rarely;yes;No;No;Neutral;Strongly-agree;It was just a brief passing thought;Often (3-4 times);Yes, at one time, but did not really want to die;Unlikely;Very Dissatisfied;Much;Very Much Noticeable;Very Much;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time
11;23;5 feet 4 inch;70;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Business;Service Holder;Agree;2,6;4-6 hours;4-6 hours;Single;No;Regularly;No;No;nothing;Agree;Agree;I have had a plan at least once to kill myself but did not try to do it;Rarely (1 time);No;Never;Dissatisfied;Much;Much;Much;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
12th;22;5';47;Female;Hindu;Urban;Rented House or Mess;Nuclear;no;Others;Service Holder;Strongly-agree;2,59;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;drawing, crafting, dance, song;Dis-agree;Strongly-disagree;I have had a plan at least once to kill myself and really wanted to die;Often (3-4 times);No;Likely;Moderately Satisfied;A little;Barely;Somewhat;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
12;26;"5'2""";72;Male;Islam;Rural;Own House;Join or Extended;2;Service Holder;House Wife;Neural;3;1-3 hours;1-3 hours;Single;No;Offen;No;yes;I can understand people well;Neutral;dis-agree;Never;Never;No;Never;Very Satisfied;Much;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
last;23;5feet 1;58;Female;Islam;Urban;Rented House or Mess;Join or Extended;2;Service Holder;House Wife;Strongly-agree;2,86;1-3 hours;4-6 hours;Single;No;Offen;yes;No;no;Agree;Agree;Never;Never;No;Never;Satisfied;Very Much Interfering;Not at all Noticeable;Much;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
5th;22;6 feet;76;Male;Islam;Urban;Own House;Join or Extended;2;Service Holder;House Wife;Agree;3,07;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;Cricket,Football;Agree;Agree;Never;Rarely (1 time);No;Never;Satisfied;A little;Barely;Somewhat;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time
2nd;21;5 feet 3 inch ;79;Female;Islam;Rural;Own House;Nuclear;0;Business;Service Holder;Neural;3,95;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;General member of bashundhara shouvo shongo, doing coding class,member of iubat it society  ;Agree;Agree;Never;Never;No;Never;Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
2nd;21;5'2;63;Female;Islam;Rural;Rented House or Mess;Nuclear;3;Others;House Wife;Strongly-agree;3,62;4-6 hours;4-6 hours;Single;No;Regularly;yes;yes;Painting;Neutral;Agree;Never;Never;No;Never;Moderately Satisfied;A little;Barely;Barely;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time
8th semester;22;5'3;80;Female;Islam;Urban;Rented House or Mess;Nuclear;5;Others;House Wife;Dis-agree;2,65;1-3 hours;4-6 hours;Single;No;Regularly;yes;No;no;Neutral;Agree;I have attempted to kill myself, but did not want to die;Sometimes (2 times);No;Never;Dissatisfied;Very Much Interfering;Not at all Noticeable;Much;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time
7 th;22;5 feet 10 inches ;59kg;Male;Islam;Rural;Rented House or Mess;Join or Extended;1;Others;House Wife;Strongly-agree;3,23;1-3 hours;1-3 hours;Single;No;Rarely;No;No;No;Agree;Agree;It was just a brief passing thought;Never;No;Never;Dissatisfied;Somewhat;Much;Much;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
7th;23;4,9;53;Female;Islam;Urban;Own House;Nuclear;2;Farmer;House Wife;Strongly-agree;3,83;1-3 hours;4-6 hours;Engaged;No;Offen;No;yes;Tuition ;Neutral;Agree;Never;Rarely (1 time);No;Never;Moderately Satisfied;Somewhat;Barely;Somewhat;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time
14th;25;5.6 feet;75;Female;Islam;Urban;Own House;Join or Extended;0;Business;House Wife;Agree;3,49;1-3 hours;1-3 hours;Married;No;Offen;yes;No;no;Agree;Neutral;I have had a plan at least once to kill myself and really wanted to die;Rarely (1 time);No;Never;Very Dissatisfied;Somewhat;Not at all Noticeable;Somewhat;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all
7th;22;5 feet;53;Female;Islam;Rural;Own House;Nuclear;1;Service Holder;House Wife;Agree;3,76;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;Nothing ;Agree;Agree;Never;Never;No;Never;Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
13th;22;5 feet 2 inches;40 kg;Female;Islam;Rural;Own House;Nuclear;2;Business;House Wife;Strongly-agree;2,54;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;Teaching ;Neutral;Neutral;Never;Never;No;Never;Very Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
4;21;5,5;61;Male;Islam;Rural;Rented House or Mess;Join or Extended;3 brothers;Business;House Wife;Agree;3,16;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;yes;Agree;Agree;Never;Never;No;Never;Satisfied;Not at all Interfering;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
7th;23;"5 feet 2""";70;Male;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Agree;3,52;1-3 hours;1-3 hours;Single;No;Offen;yes;No;no;Agree;Agree;Never;Never;No;Never;Dissatisfied;A little;Not at all Noticeable;Barely;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time
6th;22;5feet11;63;Male;Islam;Rural;Rented House or Mess;Join or Extended;None;Business;House Wife;Strongly-agree;3;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;I used to play volleyball ;Agree;Agree;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
10th;23;5 feet;50 kg;Female;Islam;Rural;Rented House or Mess;Join or Extended;1;Service Holder;House Wife;Agree;2,7;1-3 hours;1-3 hours;Single;No;Offen;No;yes;BNCC ;Agree;Agree;It was just a brief passing thought;Sometimes (2 times);No;Rather Unlikely;Dissatisfied;Much;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
